순번,종목코드,종목명,전일종가,당일종가,당일채용주식수,전일상장주식수,"채용주식수반영
시가비중"
,KR7079550000,LIG넥스원,"65,500",0,"10,780,000","22,000,000",0.057
,KR7081660003,휠라홀딩스,"35,000",0,"48,601,777","60,752,222",0.137
,KR7086280005,현대글로비스,"171,500",0,"18,375,000","37,500,000",0.254
,KR7086790003,하나금융지주,"43,950",0,"270,217,855","300,242,062",0.955
,KR7088350004,한화생명,"3,070",0,"330,041,400","868,530,000",0.082
,KR7090430000,아모레퍼시픽,"176,500",0,"31,001,162","58,492,759",0.44
,KR7093370005,후성,"22,300",0,"47,229,477","92,606,819",0.085
,KR7096770003,SK이노베이션,"226,000",0,"51,780,715","92,465,564",0.941
,KR7097950000,CJ제일제당,"392,000",0,"7,828,176","15,054,186",0.247
,KR7103140000,풍산,"31,600",0,"18,215,780","28,024,278",0.046
,KR7105560007,KB금융,"56,800",0,"353,436,732","415,807,920",1.615
,KR7105630008,한세실업,"21,950",0,"16,800,000","40,000,000",0.03
,KR7111770004,영원무역,"44,200",0,"21,712,619","44,311,468",0.077
,KR7112610001,씨에스윈드,"63,600",0,"24,037,699","42,171,403",0.123
,KR7114090004,GKL,"13,250",0,"30,309,278","61,855,670",0.032
,KR7120110002,코오롱인더,"70,100",0,"18,162,600","27,519,091",0.102
,KR7128940004,한미약품,"288,500",0,"7,267,602","12,078,282",0.169
,KR7138040001,메리츠금융지주,"42,000",0,"34,842,936","134,011,294",0.118
,KR7138930003,BNK금융지주,"8,940",0,"267,266,901","325,935,246",0.192
,KR7139480008,이마트,"152,000",0,"20,070,589","27,875,819",0.245
,KR7161390000,한국타이어앤테크놀로,"41,450",0,"71,847,540","123,875,069",0.24
,KR7161890009,한국콜마,"41,550",0,"16,474,449","22,881,180",0.055
,KR7178920005,PI첨단소재,"53,300",0,"13,508,508","29,366,322",0.058
,KR7180640005,한진칼,"61,500",0,"42,712,878","66,738,873",0.211
,KR7185750007,종근당,"121,000",0,"7,432,583","11,426,099",0.072
,KR7192080000,더블유게임즈,"57,500",0,"9,003,506","18,374,502",0.042
,KR7192400000,쿠쿠홀딩스,"19,550",0,"6,756,815","35,562,185",0.011
,KR7192820009,코스맥스,"89,000",0,"8,171,646","11,349,509",0.059
,KR7204320006,만도,"63,100",0,"32,400,412","46,957,120",0.164
,KR7207940008,삼성바이오로직스,"891,000",0,"14,556,300","66,165,000",1.043
,KR7241560002,두산밥캣,"41,450",0,"45,112,124","100,249,166",0.15
,KR7241590009,화승엔터프라이즈,"16,950",0,"18,171,241","60,570,805",0.025
,KR7251270005,넷마블,"121,000",0,"64,465,126","85,953,502",0.627
,KR7259960003,크래프톤,"462,000",0,"25,952,533","48,967,045",0.965
,KR7267250009,현대중공업지주,"57,900",0,"45,026,058","78,993,085",0.21
,KR7271560005,오리온,"105,500",0,"21,744,872","39,536,132",0.185
,KR7272210006,한화시스템,"15,650",0,"60,454,204","188,919,389",0.076
,KR7282330000,BGF리테일,"150,000",0,"7,777,757","17,283,906",0.094
,KR7284740008,쿠쿠홈시스,"38,850",0,"6,731,199","22,437,330",0.021
,KR7285130001,SK케미칼,"155,500",0,"11,277,299","17,620,780",0.141
,KR7294870001,HDC현대산업개발,"23,650",0,"40,862,544","65,907,330",0.078
,KR7298020009,효성티앤씨,"543,000",0,"2,510,055","4,327,682",0.11
,KR7298050006,효성첨단소재,"590,000",0,"2,598,369","4,479,948",0.123
,KR7302440003,SK바이오사이언스,"221,500",0,"21,420,000","76,500,000",0.382
,KR7316140003,우리금융지주,"13,150",0,"538,764,806","728,060,549",0.57
,KR7323410001,카카오뱅크,"60,300",0,"133,044,586","475,159,237",0.645
,KR7326030004,SK바이오팜,"96,200",0,"27,409,637","78,313,250",0.212
,KR7329180004,현대중공업,"92,700",0,"9,765,042","88,773,116",0.073
,KR7336260005,두산퓨얼셀,"47,800",0,"39,951,172","65,493,726",0.154
,KR7352820005,하이브,"358,000",0,"25,639,099","41,353,387",0.738
,KR7361610009,SK아이이테크놀로지,"166,000",0,"25,667,133","71,297,592",0.343
,KR7375500006,DL이앤씨,"122,500",0,"14,906,228","19,358,738",0.147
,KR7377300009,카카오페이,"181,500",0,"47,477,908","131,883,080",0.693
,KR7402340004,SK스퀘어,"64,800",0,"97,612,624","141,467,571",0.509
